tcp-traceroute from 58.65.173.14 to 95.216.247.80
12  104.44.17.189  261.503 ms ICMP
13  104.44.17.185  267.033 ms ICMP
14  104.44.7.153  268.324 ms ICMP
15  104.44.18.29  262.517 ms ICMP
16  104.44.23.86  260.068 ms ICMP
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  40.74.245.188  264.125 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.121.244.222
 1  *
 2  172.16.36.134  0.851 ms ICMP
 3  58.65.165.42  0.825 ms ICMP
 4  203.135.5.69  0.948 ms ICMP
 5  *
 6  62.115.165.16  131.510 ms ICMP
 7  80.231.217.182  124.133 ms ICMP
 8  80.231.200.14  160.650 ms ICMP
 9  80.231.131.82  225.263 ms ICMP
10  *
11  *
12  104.121.244.222  219.702 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.103.244.222
 1  *
 2  172.16.36.134  1.023 ms ICMP
 3  58.65.165.42  1.188 ms ICMP
 4  203.135.5.69  1.062 ms ICMP
 5  *
 6  62.115.165.16  131.226 ms ICMP
 7  62.115.118.94  150.121 ms ICMP
 8  62.115.123.68  148.511 ms ICMP
 9  62.115.120.75  149.737 ms ICMP
10  62.115.169.185  148.421 ms ICMP
11  23.210.48.40  219.016 ms ICMP
12  23.210.49.39  228.014 ms ICMP
13  *
14  104.103.244.222  148.516 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 52.73.138.78
 1  58.65.173.13  0.347 ms ICMP
 2  172.16.36.130  0.720 ms ICMP
 3  58.65.165.42  0.872 ms ICMP
 4  119.63.136.181  0.865 ms ICMP
 5  110.93.255.226  56.174 ms ICMP
 6  110.93.255.168  19.765 ms ICMP
 7  213.144.176.232  120.605 ms ICMP
 8  195.22.195.67  213.096 ms ICMP
 9  195.22.206.63  211.222 ms ICMP
10  *
11  *
12  *
13  *
14  *
15  *
16  *
17  *
18  52.73.138.78  221.571 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.22.0.111
 1  58.65.173.13  0.398 ms ICMP
 2  172.16.36.130  0.736 ms ICMP
 3  58.65.165.42  0.868 ms ICMP
 4  119.63.136.181  0.789 ms ICMP
 5  110.93.255.226  20.772 ms ICMP
 6  110.93.255.168  20.473 ms ICMP
 7  110.93.192.198  20.238 ms ICMP
 8  104.22.0.111  19.667 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.17.46.52
 1  *
 2  172.16.36.134  1.095 ms ICMP
 3  58.65.165.42  0.811 ms ICMP
 4  203.135.5.69  1.053 ms ICMP
 5  *
 6  185.1.15.41  42.226 ms ICMP
 7  104.17.46.52  43.683 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 87.117.235.117
 1  58.65.173.13  0.511 ms ICMP
 2  172.16.36.130  0.843 ms ICMP
 3  58.65.165.42  0.898 ms ICMP
 4  203.135.5.69  1.056 ms ICMP
 5  *
 6  149.14.126.177  117.492 ms ICMP
 7  130.117.50.165  129.482 ms ICMP
 8  154.54.60.174  135.674 ms ICMP
 9  130.117.48.146  135.376 ms ICMP
10  149.11.166.210  204.936 ms ICMP
11  130.180.202.47  195.811 ms ICMP
12  212.84.162.156  203.350 ms ICMP
13  130.180.202.43  202.796 ms ICMP
14  *
15  87.117.235.117  203.067 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 3.24.12.218
 1  58.65.173.13  0.321 ms ICMP
 2  172.16.36.130  0.800 ms ICMP
 3  58.65.165.42  0.898 ms ICMP
 4  119.63.136.181  0.739 ms ICMP
 5  110.93.252.99  21.846 ms ICMP
 6  110.93.252.146  19.702 ms ICMP
 7  27.111.228.87  97.120 ms ICMP
 8  52.93.8.170  95.280 ms ICMP
 9  52.93.8.177  97.340 ms ICMP
10  *
11  150.222.245.5  186.473 ms ICMP
12  52.95.36.158  191.412 ms ICMP
13  150.222.112.181  190.359 ms ICMP
14  150.222.112.176  196.679 ms ICMP
15  52.95.36.25  188.027 ms ICMP
16  54.240.192.107  187.493 ms ICMP
17  *
18  *
19  *
20  3.24.12.218  188.449 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 129.170.171.44
 1  58.65.173.13  0.354 ms ICMP
 2  172.16.36.130  0.681 ms ICMP
 3  58.65.165.42  0.989 ms ICMP
 4  119.63.136.181  1.072 ms ICMP
 5  110.93.252.99  18.048 ms ICMP
 6  110.93.252.198  18.666 ms ICMP
 7  27.111.228.81  97.844 ms ICMP
 8  184.105.64.254  166.069 ms ICMP
 9  184.105.213.117  246.315 ms ICMP
10  184.104.194.22  279.452 ms ICMP
11  184.105.223.177  287.310 ms ICMP
12  184.104.193.174  303.473 ms ICMP
13  184.105.213.218  306.526 ms ICMP
14  209.51.172.26  305.755 ms ICMP
15  216.66.105.25  318.324 ms ICMP
16  216.66.108.105  268.359 ms ICMP
17  216.66.108.106  275.552 ms ICMP
18  129.170.1.41  290.363 ms ICMP
19  129.170.1.66  274.121 ms ICMP
20  *
21  *
22  129.170.171.44  274.505 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 172.67.141.125
 1  58.65.173.13  0.374 ms ICMP
 2  172.16.36.130  0.955 ms ICMP
 3  58.65.165.42  0.953 ms ICMP
 4  119.63.136.181  0.754 ms ICMP
 5  110.93.252.99  22.807 ms ICMP
 6  110.93.252.146  21.173 ms ICMP
 7  27.111.228.132  105.602 ms ICMP
 8  172.67.141.125  100.473 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.18.67.79
 1  58.65.173.13  0.407 ms ICMP
 2  172.16.36.130  0.906 ms ICMP
 3  58.65.165.42  0.785 ms ICMP
 4  203.135.5.69  1.126 ms ICMP
 5  *
 6  185.1.15.41  41.182 ms ICMP
 7  104.18.67.79  41.211 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 193.70.6.186
 1  *
 2  172.16.36.134  1.021 ms ICMP
 3  58.65.165.42  0.863 ms ICMP
 4  203.135.5.69  9.979 ms ICMP
 5  *
 6  *
 7  *
 8  *
 9  *
10  91.121.215.196  145.985 ms ICMP
11  *
12  *
13  193.70.6.186  140.534 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 35.164.72.124
 1  58.65.173.13  0.469 ms ICMP
 2  172.16.36.130  0.839 ms ICMP
 3  58.65.165.42  0.907 ms ICMP
 4  119.63.136.181  0.756 ms ICMP
 5  110.93.255.226  20.433 ms ICMP
 6  110.93.252.172  19.625 ms ICMP
 7  149.14.125.89  119.728 ms ICMP
 8  154.54.38.173  116.738 ms ICMP
 9  154.54.57.210  129.041 ms ICMP
10  154.54.57.241  134.761 ms ICMP
11  154.54.61.133  139.161 ms ICMP
12  154.54.85.245  207.715 ms ICMP
13  154.54.24.222  220.604 ms ICMP
14  154.54.28.130  233.216 ms ICMP
15  154.54.30.162  250.089 ms ICMP
16  154.54.42.65  257.986 ms ICMP
17  154.54.44.86  270.286 ms ICMP
18  154.54.42.102  269.669 ms ICMP
19  38.142.35.250  269.563 ms ICMP
20  *
21  *
22  *
23  *
24  52.93.131.87  293.296 ms ICMP
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  *
34  *
35  *
36  *
37  *
38  *
39  *
40  *
41  35.164.72.124  283.672 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 192.0.66.24
 1  58.65.173.13  0.471 ms ICMP
 2  172.16.36.130  0.718 ms ICMP
 3  58.65.165.42  0.868 ms ICMP
 4  119.63.136.181  1.053 ms ICMP
 5  110.93.252.99  19.666 ms ICMP
 6  110.93.252.198  20.230 ms ICMP
 7  27.111.228.209  99.764 ms ICMP
 8  192.0.66.24  99.456 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 40.113.200.201
 1  *
 2  172.16.36.134  1.011 ms ICMP
 3  58.65.165.42  0.838 ms ICMP
 4  203.135.5.69  1.082 ms ICMP
 5  *
 6  *
 7  *
 8  149.14.126.177  117.127 ms ICMP
 9  154.54.38.174  117.315 ms ICMP
10  149.6.154.10  141.516 ms ICMP
11  104.44.238.111  143.079 ms ICMP
12  104.44.20.59  249.783 ms ICMP
13  104.44.7.47  249.008 ms ICMP
14  104.44.17.77  250.080 ms ICMP
15  104.44.18.152  247.321 ms ICMP
16  104.44.7.103  249.099 ms ICMP
17  104.44.7.94  249.076 ms ICMP
18  104.44.7.112  257.180 ms ICMP
19  104.44.7.217  251.142 ms ICMP
20  104.44.19.251  251.164 ms ICMP
21  104.44.22.178  247.988 ms ICMP
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  *
34  40.113.200.201  255.234 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 128.95.155.197
 1  *
 2  172.16.36.134  1.102 ms ICMP
 3  58.65.165.42  0.834 ms ICMP
 4  203.135.5.69  1.213 ms ICMP
 5  *
 6  149.14.126.177  118.424 ms ICMP
 7  130.117.50.165  126.137 ms ICMP
 8  154.54.57.69  146.825 ms ICMP
 9  154.54.82.38  211.220 ms ICMP
10  154.54.0.221  214.739 ms ICMP
11  154.54.29.173  229.312 ms ICMP
12  154.54.7.129  236.978 ms ICMP
13  154.54.44.169  247.699 ms ICMP
14  154.54.31.89  261.156 ms ICMP
15  154.54.42.97  269.518 ms ICMP
16  154.54.86.110  289.389 ms ICMP
17  38.104.127.202  269.725 ms ICMP
18  209.124.188.133  260.569 ms ICMP
19  *
20  69.91.230.131  264.254 ms ICMP
21  128.95.155.197  261.222 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 79.127.127.29
 1  58.65.173.13  0.402 ms ICMP
 2  172.16.36.130  0.880 ms ICMP
 3  58.65.165.42  0.902 ms ICMP
 4  119.63.136.181  0.839 ms ICMP
 5  110.93.252.99  17.975 ms ICMP
 6  110.93.252.146  19.716 ms ICMP
 7  110.93.252.111  155.236 ms ICMP
 8  80.81.196.144  199.673 ms ICMP
 9  185.233.140.109  258.277 ms ICMP
10  *
11  *
12  *
13  *
14  *
15  *
16  *
17  79.127.127.29  247.834 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.183.78
 1  *
 2  172.16.36.134  0.999 ms ICMP
 3  58.65.165.42  0.935 ms ICMP
 4  203.135.5.69  1.204 ms ICMP
 5  *
 6  99.82.180.224  38.401 ms ICMP
 7  52.93.69.24  37.180 ms ICMP
 8  52.93.69.185  36.344 ms ICMP
 9  *
10  *
11  *
12  *
13  *
14  13.35.183.78  35.992 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 40.118.6.229
 1  *
 2  172.16.36.134  0.988 ms ICMP
 3  58.65.165.42  0.819 ms ICMP
 4  203.135.5.69  1.068 ms ICMP
 5  *
 6  104.44.36.139  40.647 ms ICMP
 7  104.44.238.223  40.290 ms ICMP
 8  104.44.20.231  153.922 ms ICMP
 9  104.44.16.252  155.375 ms ICMP
10  104.44.19.220  164.603 ms ICMP
11  104.44.17.252  155.508 ms ICMP
12  104.44.18.79  159.462 ms ICMP
13  104.44.19.234  156.043 ms ICMP
14  104.44.22.216  157.658 ms ICMP
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  40.118.6.229  155.736 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.20.160.69
 1  58.65.173.13  0.415 ms ICMP
 2  172.16.36.130  0.966 ms ICMP
 3  58.65.165.42  0.946 ms ICMP
 4  119.63.136.181  0.788 ms ICMP
 5  110.93.255.226  20.257 ms ICMP
 6  110.93.255.168  19.773 ms ICMP
 7  110.93.192.198  20.779 ms ICMP
 8  104.20.160.69  20.614 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 69.8.198.251
 1  *
 2  172.16.36.134  0.905 ms ICMP
 3  58.65.165.42  0.995 ms ICMP
 4  119.63.136.181  0.725 ms ICMP
 5  110.93.255.226  20.321 ms ICMP
 6  110.93.255.168  19.681 ms ICMP
 7  213.144.176.232  120.700 ms ICMP
 8  195.22.195.67  214.557 ms ICMP
 9  195.22.206.99  218.541 ms ICMP
10  *
11  63.235.42.5  217.654 ms ICMP
12  205.171.11.70  285.771 ms ICMP
13  63.236.119.100  285.725 ms ICMP
14  *
15  69.8.198.251  286.602 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 170.248.56.19
 1  58.65.173.13  0.481 ms ICMP
 2  172.16.36.130  2.185 ms ICMP
 3  58.65.165.42  0.908 ms ICMP
 4  203.135.5.69  1.093 ms ICMP
 5  *
 6  149.14.126.177  116.492 ms ICMP
 7  130.117.50.165  125.813 ms ICMP
 8  154.54.27.169  198.726 ms ICMP
 9  154.54.0.142  198.393 ms ICMP
10  154.54.10.98  212.681 ms ICMP
11  12.122.130.170  264.545 ms ICMP
12  12.122.28.42  284.495 ms ICMP
13  12.122.134.197  279.367 ms ICMP
14  12.249.27.10  218.060 ms ICMP
15  170.251.196.20  216.367 ms ICMP
16  *
17  170.248.56.19  217.249 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 18.232.195.40
 1  58.65.173.13  0.587 ms ICMP
 2  172.16.36.130  0.940 ms ICMP
 3  58.65.165.42  1.045 ms ICMP
 4  119.63.136.181  0.738 ms ICMP
 5  110.93.252.99  18.301 ms ICMP
 6  110.93.252.190  19.589 ms ICMP
 7  213.144.176.232  119.075 ms ICMP
 8  *
 9  195.22.206.61  210.607 ms ICMP
10  *
11  *
12  52.93.28.112  216.757 ms ICMP
13  *
14  *
15  *
16  *
17  *
18  18.232.195.40  217.436 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.171.37
 1  58.65.173.13  0.420 ms ICMP
 2  172.16.36.130  0.782 ms ICMP
 3  58.65.165.42  0.934 ms ICMP
 4  203.135.5.69  1.101 ms ICMP
 5  *
 6  99.82.180.224  39.402 ms ICMP
 7  52.93.69.88  40.651 ms ICMP
 8  52.93.69.193  45.196 ms ICMP
 9  *
10  *
11  *
12  *
13  *
14  13.35.171.37  36.963 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 140.234.252.103
 1  *
 2  172.16.36.134  1.070 ms ICMP
 3  58.65.165.42  0.849 ms ICMP
 4  119.63.136.181  0.741 ms ICMP
 5  110.93.255.226  20.440 ms ICMP
 6  110.93.255.168  19.624 ms ICMP
 7  213.144.176.232  119.805 ms ICMP
 8  *
 9  *
10  4.53.58.86  223.912 ms ICMP
11  140.234.253.230  224.555 ms ICMP
12  140.234.252.10  225.135 ms ICMP
13  140.234.252.9  225.240 ms ICMP
14  140.234.252.103  224.228 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 151.101.194.2
 1  58.65.173.13  0.457 ms ICMP
 2  172.16.36.130  0.873 ms ICMP
 3  58.65.165.42  1.024 ms ICMP
 4  203.135.5.69  1.123 ms ICMP
 5  *
 6  27.111.228.34  102.794 ms ICMP
 7  151.101.194.2  101.962 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.20.139.65
 1  58.65.173.13  0.471 ms ICMP
 2  172.16.36.130  0.886 ms ICMP
 3  58.65.165.42  0.922 ms ICMP
 4  119.63.136.181  0.824 ms ICMP
 5  110.93.255.226  20.971 ms ICMP
 6  110.93.255.168  19.735 ms ICMP
 7  110.93.192.198  20.112 ms ICMP
 8  104.20.139.65  19.582 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 77.74.178.29
 1  *
 2  172.16.36.134  1.263 ms ICMP
 3  58.65.165.42  0.906 ms ICMP
 4  203.135.5.69  1.072 ms ICMP
 5  *
 6  80.81.194.117  141.034 ms ICMP
 7  217.150.55.21  170.387 ms ICMP
 8  217.150.43.68  180.236 ms ICMP
 9  195.128.64.67  175.881 ms ICMP
10  *
11  77.74.179.250  179.363 ms ICMP
12  *
13  77.74.178.29  172.887 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 43.245.43.59
 1  *
 2  172.16.36.134  1.243 ms ICMP
 3  58.65.165.42  0.958 ms ICMP
 4  203.135.5.69  1.082 ms ICMP
 5  *
 6  116.51.26.49  103.553 ms ICMP
 7  129.250.3.83  102.803 ms ICMP
 8  129.250.6.145  193.588 ms ICMP
 9  202.68.67.134  194.585 ms ICMP
10  43.245.43.59  194.597 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 198.115.82.77
 1  58.65.173.13  0.425 ms ICMP
 2  172.16.36.130  0.955 ms ICMP
 3  58.65.165.42  0.877 ms ICMP
 4  203.135.5.69  1.028 ms ICMP
 5  *
 6  116.51.27.49  103.695 ms ICMP
 7  129.250.2.122  104.032 ms ICMP
 8  *
 9  *
10  4.53.61.86  277.850 ms ICMP
11  66.203.65.145  275.408 ms ICMP
12  66.203.80.61  276.231 ms ICMP
13  *
14  198.115.82.77  275.642 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 216.165.47.10
 1  58.65.173.13  0.309 ms ICMP
 2  172.16.36.130  0.707 ms ICMP
 3  58.65.165.42  0.895 ms ICMP
 4  119.63.136.181  0.795 ms ICMP
 5  110.93.252.99  17.971 ms ICMP
 6  110.93.252.190  36.851 ms ICMP
 7  213.144.176.232  120.338 ms ICMP
 8  213.144.176.217  133.696 ms ICMP
 9  213.254.214.10  199.522 ms ICMP
10  209.120.137.218  202.095 ms ICMP
11  *
12  128.122.254.110  199.730 ms ICMP
13  216.165.47.10  199.977 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.183.84
 1  *
 2  172.16.36.134  0.994 ms ICMP
 3  58.65.165.42  0.892 ms ICMP
 4  203.135.5.69  1.040 ms ICMP
 5  *
 6  99.82.180.224  41.714 ms ICMP
 7  52.93.69.136  39.166 ms ICMP
 8  52.93.69.199  37.667 ms ICMP
 9  *
10  *
11  *
12  *
13  *
14  13.35.183.84  39.544 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 52.193.44.118
 1  58.65.173.13  0.382 ms ICMP
 2  172.16.36.130  0.919 ms ICMP
 3  58.65.165.42  0.939 ms ICMP
 4  119.63.136.181  0.838 ms ICMP
 5  110.93.255.226  20.221 ms ICMP
 6  110.93.252.172  19.662 ms ICMP
 7  27.111.228.87  97.843 ms ICMP
 8  52.93.8.126  96.956 ms ICMP
 9  52.93.8.133  98.195 ms ICMP
10  *
11  52.93.131.83  164.177 ms ICMP
12  *
13  *
14  52.95.31.37  169.499 ms ICMP
15  52.95.31.187  164.074 ms ICMP
16  52.95.31.182  165.408 ms ICMP
17  52.95.31.96  165.246 ms ICMP
18  52.93.250.36  165.303 ms ICMP
19  *
20  *
21  *
22  *
23  *
24  *
25  52.193.44.118  165.261 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 23.185.0.2
 1  58.65.173.13  0.450 ms ICMP
 2  172.16.36.130  0.731 ms ICMP
 3  58.65.165.42  0.869 ms ICMP
 4  203.135.5.69  1.138 ms ICMP
 5  *
 6  27.111.228.34  102.484 ms ICMP
 7  23.185.0.2  102.191 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 192.0.66.184
 1  *
 2  172.16.36.134  1.056 ms ICMP
 3  58.65.165.42  0.867 ms ICMP
 4  119.63.136.181  0.593 ms ICMP
 5  110.93.252.99  17.975 ms ICMP
 6  110.93.252.146  19.550 ms ICMP
 7  27.111.228.209  100.692 ms ICMP
 8  192.0.66.184  98.637 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.31.13.180
 1  58.65.173.13  0.326 ms ICMP
 2  172.16.36.130  1.120 ms ICMP
 3  58.65.165.42  0.881 ms ICMP
 4  119.63.136.181  1.263 ms ICMP
 5  110.93.252.99  19.593 ms ICMP
 6  110.93.252.190  21.370 ms ICMP
 7  110.93.192.198  21.030 ms ICMP
 8  104.31.13.180  21.250 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.20.39
 1  *
 2  172.16.36.134  1.069 ms ICMP
 3  58.65.165.42  0.858 ms ICMP
 4  119.63.136.181  0.807 ms ICMP
 5  110.93.252.99  21.922 ms ICMP
 6  110.93.252.146  19.584 ms ICMP
 7  27.111.228.87  99.407 ms ICMP
 8  52.93.8.60  101.733 ms ICMP
 9  52.93.8.67  101.446 ms ICMP
10  52.93.10.117  105.776 ms ICMP
11  *
12  52.93.11.151  99.347 ms ICMP
13  *
14  *
15  *
16  *
17  *
18  13.35.20.39  97.635 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 172.64.101.12
 1  58.65.173.13  0.383 ms ICMP
 2  172.16.36.130  0.727 ms ICMP
 3  58.65.165.42  0.856 ms ICMP
 4  119.63.136.181  1.504 ms ICMP
 5  110.93.252.99  19.643 ms ICMP
 6  110.93.252.146  21.198 ms ICMP
 7  27.111.228.132  108.955 ms ICMP
 8  172.64.101.12  100.322 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.20.31.130
 1  58.65.173.13  0.313 ms ICMP
 2  172.16.36.130  0.782 ms ICMP
 3  58.65.165.42  0.885 ms ICMP
 4  119.63.136.181  0.835 ms ICMP
 5  110.93.252.99  18.027 ms ICMP
 6  110.93.252.190  19.709 ms ICMP
 7  110.93.192.198  35.474 ms ICMP
 8  104.20.31.130  18.755 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 13.35.183.110
 1  *
 2  172.16.36.134  1.085 ms ICMP
 3  58.65.165.42  0.848 ms ICMP
 4  203.135.5.69  1.064 ms ICMP
 5  *
 6  99.82.180.224  40.939 ms ICMP
 7  52.93.69.88  39.310 ms ICMP
 8  52.93.69.193  37.873 ms ICMP
 9  *
10  *
11  *
12  *
13  *
14  13.35.183.110  37.963 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 54.79.20.73
 1  *
 2  172.16.36.134  0.992 ms ICMP
 3  58.65.165.42  0.824 ms ICMP
 4  119.63.136.181  0.685 ms ICMP
 5  110.93.255.226  20.361 ms ICMP
 6  110.93.252.172  19.948 ms ICMP
 7  27.111.228.87  99.576 ms ICMP
 8  52.93.8.170  101.256 ms ICMP
 9  52.93.8.173  98.296 ms ICMP
10  *
11  150.222.245.5  189.479 ms ICMP
12  52.95.36.158  192.652 ms ICMP
13  150.222.112.133  193.747 ms ICMP
14  150.222.112.130  191.180 ms ICMP
15  52.95.36.47  192.345 ms ICMP
16  52.95.38.19  190.186 ms ICMP
17  *
18  *
19  *
20  *
21  *
22  54.79.20.73  189.574 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 204.79.197.212
 1  58.65.173.13  0.363 ms ICMP
 2  172.16.36.130  0.845 ms ICMP
 3  58.65.165.42  0.860 ms ICMP
 4  203.135.5.69  1.154 ms ICMP
 5  *
 6  104.44.36.141  43.153 ms ICMP
 7  *
 8  *
 9  204.79.197.212  40.960 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 34.233.79.178
 1  58.65.173.13  0.445 ms ICMP
 2  172.16.36.130  0.799 ms ICMP
 3  58.65.165.42  0.997 ms ICMP
 4  203.135.5.69  1.030 ms ICMP
 5  *
 6  149.14.126.177  116.994 ms ICMP
 7  130.117.50.165  127.415 ms ICMP
 8  154.54.27.169  198.301 ms ICMP
 9  154.54.0.142  198.986 ms ICMP
10  38.140.107.42  200.017 ms ICMP
11  52.93.31.51  199.613 ms ICMP
12  52.93.4.50  200.027 ms ICMP
13  *
14  *
15  *
16  *
17  *
18  *
19  150.222.241.177  217.038 ms ICMP
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  52.93.28.178  215.515 ms ICMP
31  *
32  *
33  *
34  *
35  *
36  *
37  34.233.79.178  211.921 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 134.213.70.247
 1  58.65.173.13  0.481 ms ICMP
 2  172.16.36.130  0.953 ms ICMP
 3  58.65.165.42  0.924 ms ICMP
 4  203.135.5.69  1.171 ms ICMP
 5  *
 6  62.115.165.16  132.140 ms ICMP
 7  62.115.118.94  150.642 ms ICMP
 8  62.115.123.68  149.190 ms ICMP
 9  62.115.114.235  151.668 ms ICMP
10  62.115.41.54  150.345 ms ICMP
11  *
12  134.213.97.211  156.609 ms ICMP
13  162.13.232.16  212.786 ms ICMP
14  164.177.137.9  211.939 ms ICMP
15  134.213.131.111  212.759 ms ICMP
16  134.213.70.247  209.046 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 34.243.71.240
 1  *
 2  172.16.36.134  0.930 ms ICMP
 3  58.65.165.42  0.889 ms ICMP
 4  203.135.5.69  1.039 ms ICMP
 5  *
 6  99.82.180.224  40.303 ms ICMP
 7  52.93.69.88  38.169 ms ICMP
 8  52.93.69.95  40.043 ms ICMP
 9  52.93.69.148  164.727 ms ICMP
10  54.239.46.109  171.832 ms ICMP
11  52.93.68.150  167.757 ms ICMP
12  54.239.46.153  171.181 ms ICMP
13  52.93.130.33  167.661 ms ICMP
14  52.93.134.102  169.026 ms ICMP
15  52.93.128.206  170.838 ms ICMP
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  34.243.71.240  165.655 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 115.186.131.203
 1  *
 2  115.186.131.203  0.430 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 199.232.194.133
 1  *
 2  172.16.36.134  1.093 ms ICMP
 3  58.65.165.42  0.999 ms ICMP
 4  203.135.5.69  0.975 ms ICMP
 5  *
 6  80.81.195.54  142.049 ms ICMP
 7  199.232.194.133  131.690 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 194.224.72.187
 1  *
 2  172.16.36.134  1.072 ms ICMP
 3  58.65.165.42  0.810 ms ICMP
 4  119.63.136.181  0.644 ms ICMP
 5  110.93.252.99  18.000 ms ICMP
 6  110.93.252.190  20.323 ms ICMP
 7  213.144.176.232  119.659 ms ICMP
 8  195.22.210.55  128.756 ms ICMP
 9  94.142.107.20  133.539 ms ICMP
10  176.52.248.152  150.971 ms ICMP
11  213.140.51.57  153.486 ms ICMP
12  *
13  *
14  80.58.88.243  151.889 ms ICMP
15  80.58.72.150  152.432 ms ICMP
16  193.152.61.22  152.603 ms ICMP
17  194.224.72.251  154.550 ms ICMP
18  194.224.72.187  153.727 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 18.211.40.93
 1  *
 2  172.16.36.134  0.913 ms ICMP
 3  58.65.165.42  0.889 ms ICMP
 4  119.63.136.181  0.607 ms ICMP
 5  110.93.252.99  18.224 ms ICMP
 6  110.93.252.190  19.699 ms ICMP
 7  213.144.176.232  119.352 ms ICMP
 8  195.22.195.35  231.489 ms ICMP
 9  195.22.206.63  218.085 ms ICMP
10  *
11  *
12  52.93.28.88  232.536 ms ICMP
13  *
14  *
15  *
16  *
17  *
18  18.211.40.93  230.416 ms ICMP
tcp-traceroute from 58.65.173.14 to 69.164.223.139
 1  58.65.173.13  0.386 ms ICMP
 2  172.16.36.130  0.931 ms ICMP
 3  58.65.165.42  0.836 ms ICMP
 4  119.63.136.181  0.740 ms ICMP
 5  110.93.255.226  20.315 ms ICMP
 6  110.93.255.168  19.644 ms ICMP
 7  213.144.176.232  119.459 ms ICMP
 8  213.144.176.217  123.541 ms ICMP
 9  89.149.183.254  213.366 ms ICMP
10  *
11  *
12  69.164.223.139  256.562 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 137.254.60.32
 1  58.65.173.13  0.306 ms ICMP
 2  172.16.36.130  1.021 ms ICMP
 3  58.65.165.42  0.881 ms ICMP
 4  203.135.5.69  1.859 ms ICMP
 5  *
 6  62.115.165.16  131.240 ms ICMP
 7  46.33.87.17  132.761 ms ICMP
 8  141.136.111.98  269.509 ms ICMP
 9  69.174.9.174  253.459 ms ICMP
10  209.17.5.209  254.051 ms ICMP
