tcp-traceroute from 58.65.173.14 to 95.216.247.80
 1  58.65.173.13  0.541 ms ICMP
 2  172.16.36.130  0.878 ms ICMP
 3  58.65.165.42  0.944 ms ICMP
 4  203.135.5.69  1.136 ms ICMP
 5  *
 6  185.1.15.41  41.052 ms ICMP
 7  104.19.155.33  40.153 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 163.44.191.95
 1  *
 2  172.16.36.134  1.053 ms ICMP
 3  58.65.165.42  0.741 ms ICMP
 4  203.135.5.69  1.644 ms ICMP
 5  *
 6  65.49.109.213  104.380 ms ICMP
 7  184.105.64.254  168.214 ms ICMP
 8  210.171.224.65  188.964 ms ICMP
 9  133.130.12.58  168.277 ms ICMP
10  210.157.9.210  168.222 ms ICMP
11  157.7.41.218  168.690 ms ICMP
12  163.44.191.95  168.880 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 139.45.195.41
 1  *
 2  172.16.36.134  1.031 ms ICMP
 3  58.65.165.42  1.002 ms ICMP
 4  119.63.136.181  0.730 ms ICMP
 5  110.93.252.99  21.437 ms ICMP
 6  110.93.252.190  19.681 ms ICMP
 7  213.144.176.232  120.063 ms ICMP
 8  195.22.211.39  140.059 ms ICMP
 9  195.22.214.85  193.211 ms ICMP
10  87.245.234.113  203.631 ms ICMP
11  89.19.36.65  156.972 ms ICMP
12  139.45.195.41  205.685 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 184.95.52.107
 1  58.65.173.13  0.502 ms ICMP
 2  172.16.36.130  0.973 ms ICMP
 3  58.65.165.42  0.912 ms ICMP
 4  203.135.5.69  1.062 ms ICMP
 5  *
 6  27.111.228.4  100.108 ms ICMP
 7  202.84.224.198  101.856 ms ICMP
 8  202.84.136.2  285.949 ms ICMP
 9  202.84.143.205  274.498 ms ICMP
10  202.40.149.177  272.425 ms ICMP
11  210.176.40.34  286.705 ms ICMP
12  108.170.0.37  286.424 ms ICMP
13  *
14  184.95.52.107  286.983 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.27.128.96
 1  58.65.173.13  0.407 ms ICMP
 2  172.16.36.130  0.897 ms ICMP
 3  58.65.165.42  0.941 ms ICMP
 4  119.63.136.181  0.845 ms ICMP
 5  110.93.255.226  20.280 ms ICMP
 6  110.93.255.168  19.704 ms ICMP
 7  110.93.192.198  20.270 ms ICMP
 8  104.27.128.96  20.716 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 209.251.59.181
 1  *
 2  172.16.36.134  1.111 ms ICMP
 3  58.65.165.42  1.166 ms ICMP
 4  203.135.5.69  1.010 ms ICMP
 5  *
 6  149.14.126.177  115.708 ms ICMP
 7  130.117.50.165  124.731 ms ICMP
 8  154.54.60.174  132.633 ms ICMP
 9  154.54.39.117  149.152 ms ICMP
10  154.54.44.166  219.028 ms ICMP
11  154.54.42.89  226.897 ms ICMP
12  38.104.159.14  257.771 ms ICMP
13  66.135.117.118  257.257 ms ICMP
14  66.135.117.217  257.444 ms ICMP
15  209.251.59.181  257.784 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 151.101.192.155
 1  *
 2  172.16.36.134  1.108 ms ICMP
 3  58.65.165.42  0.919 ms ICMP
 4  203.135.5.69  1.109 ms ICMP
 5  *
 6  27.111.228.34  102.130 ms ICMP
 7  151.101.192.155  103.265 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 129.79.123.149
 1  *
 2  172.16.36.134  1.181 ms ICMP
 3  58.65.165.42  0.904 ms ICMP
 4  119.63.136.181  1.072 ms ICMP
 5  110.93.252.99  19.494 ms ICMP
 6  110.93.252.198  23.440 ms ICMP
 7  27.111.228.81  99.040 ms ICMP
 8  184.105.64.254  165.249 ms ICMP
 9  184.105.213.117  246.698 ms ICMP
10  184.104.194.22  281.246 ms ICMP
11  184.105.223.177  290.376 ms ICMP
12  216.66.73.214  288.387 ms ICMP
13  140.189.9.138  288.860 ms ICMP
14  149.165.183.89  289.008 ms ICMP
15  *
16  38.101.160.251  293.524 ms ICMP
17  149.165.183.14  295.345 ms ICMP
18  134.68.3.129  307.583 ms ICMP
19  129.79.123.149  297.533 ms [SYN-ACK]
tcp-traceroute from 58.65.173.14 to 104.120.79.103
 1  58.65.173.13  0.465 ms ICMP
 2  172.16.36.130  0.970 ms ICMP
 3  58.65.165.42  0.939 ms ICMP
 4  203.135.5.69  1.120 ms ICMP
 5  *
 6  27.111.228.40  104.600 ms ICMP
 7  182.79.211.35  151.976 ms ICMP
 8  *
