tcp-traceroute from 77.243.183.221 to 95.216.247.80
 3  62.115.142.46  117.239 ms ICMP
 4  62.115.123.13  121.174 ms ICMP
 5  62.115.112.242  91.358 ms ICMP
 6  62.115.120.177  117.287 ms ICMP
 7  62.115.41.58  238.212 ms ICMP
 8  131.100.186.105  240.001 ms ICMP
 9  *
10  200.49.95.73  234.804 ms ICMP
11  190.220.57.135  233.963 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.28.21.89
 1  77.243.183.129  0.293 ms ICMP
 2  37.120.128.249  9.413 ms ICMP
 3  37.120.128.129  9.164 ms ICMP
 4  195.42.144.143  12.309 ms ICMP
 5  104.28.21.89  9.234 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 89.39.104.171
 1  77.243.183.129  0.301 ms ICMP
 2  82.102.29.31  14.141 ms ICMP
 3  77.243.185.212  16.894 ms ICMP
 4  195.66.244.29  17.021 ms ICMP
 5  195.2.27.165  18.821 ms ICMP
 6  195.2.24.129  20.627 ms ICMP
 7  195.2.31.14  19.153 ms ICMP
 8  217.161.65.162  18.331 ms ICMP
 9  109.236.95.107  18.867 ms ICMP
10  109.236.95.229  18.862 ms ICMP
11  89.39.104.171  19.548 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 195.47.247.8
 1  77.243.183.129  1.382 ms ICMP
 2  213.248.84.210  0.281 ms ICMP
 3  62.115.142.4  13.457 ms ICMP
 4  62.115.114.94  12.985 ms ICMP
 5  62.115.142.211  12.932 ms ICMP
 6  62.115.167.197  13.145 ms ICMP
 7  46.30.210.17  14.537 ms ICMP
 8  46.30.214.1  15.288 ms ICMP
 9  195.47.247.8  13.027 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 185.233.185.53
 1  77.243.183.129  0.361 ms ICMP
 2  37.120.128.253  0.353 ms ICMP
 3  87.245.236.148  0.615 ms ICMP
 4  87.245.232.216  30.443 ms ICMP
 5  87.245.237.59  30.382 ms ICMP
 6  77.120.1.82  30.841 ms ICMP
 7  77.120.1.166  30.894 ms ICMP
 8  *
 9  185.233.185.53  30.608 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.27.132.58
 1  77.243.183.129  0.229 ms ICMP
 2  37.120.128.249  14.880 ms ICMP
 3  37.120.128.129  9.334 ms ICMP
 4  195.42.144.143  10.372 ms ICMP
 5  104.27.132.58  10.558 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.27.128.96
 1  77.243.183.129  0.310 ms ICMP
 2  37.120.128.249  9.960 ms ICMP
 3  37.120.128.129  9.282 ms ICMP
 4  195.42.144.143  10.476 ms ICMP
 5  104.27.128.96  9.979 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 186.2.163.90
 1  77.243.183.129  0.298 ms ICMP
 2  77.243.185.234  7.332 ms ICMP
 3  *
 4  *
 5  186.2.163.90  7.261 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 81.19.86.3
 1  77.243.183.129  0.433 ms ICMP
 2  77.243.185.234  7.319 ms ICMP
 3  208.173.212.193  27.676 ms ICMP
 4  195.2.28.30  14.812 ms ICMP
 5  195.2.20.226  13.876 ms ICMP
 6  217.161.68.34  17.285 ms ICMP
 7  188.254.25.77  49.152 ms ICMP
 8  213.24.112.214  88.945 ms ICMP
 9  81.19.64.83  48.590 ms ICMP
10  *
11  *
12  81.19.86.3  47.808 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 184.95.52.107
 1  77.243.183.129  0.401 ms ICMP
 2  *
 3  *
 4  4.79.123.130  151.820 ms ICMP
 5  108.170.0.9  152.101 ms ICMP
 6  10.220.60.12  152.003 ms ICMP
 7  184.95.52.107  140.745 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.16.118.93
 1  77.243.183.129  0.385 ms ICMP
 2  37.120.128.249  9.484 ms ICMP
 3  37.120.128.129  9.312 ms ICMP
 4  195.42.144.143  10.564 ms ICMP
 5  104.16.118.93  10.115 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 23.9.22.6
 1  77.243.183.129  0.292 ms ICMP
 2  185.206.226.37  0.469 ms ICMP
 3  195.219.50.20  1.630 ms ICMP
 4  195.22.214.54  0.470 ms ICMP
 5  213.144.176.203  18.956 ms ICMP
 6  213.144.176.139  21.420 ms ICMP
 7  116.119.35.205  161.430 ms ICMP
 8  *
 9  23.9.22.6  159.686 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.22.76.166
 1  77.243.183.129  0.433 ms ICMP
 2  37.120.128.226  9.385 ms ICMP
 3  195.42.144.143  33.946 ms ICMP
 4  104.22.76.166  9.648 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.120.79.103
 1  77.243.183.129  2.426 ms ICMP
 2  195.219.50.22  0.313 ms ICMP
 3  195.22.214.54  0.608 ms ICMP
 4  213.144.176.203  18.712 ms ICMP
 5  213.144.176.139  21.256 ms ICMP
 6  182.79.211.32  132.113 ms ICMP
 7  *
 8  104.120.79.103  130.576 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.31.86.222
 1  77.243.183.129  0.807 ms ICMP
 2  37.120.128.249  9.528 ms ICMP
 3  37.120.128.129  9.254 ms ICMP
 4  195.42.144.143  15.668 ms ICMP
 5  104.31.86.222  9.423 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 85.17.165.40
 1  77.243.183.129  0.278 ms ICMP
 2  37.120.128.253  0.300 ms ICMP
 3  80.81.193.246  8.010 ms ICMP
 4  31.31.34.18  7.282 ms ICMP
 5  31.31.34.28  7.631 ms ICMP
 6  31.31.38.83  7.803 ms ICMP
 7  81.17.33.111  7.273 ms ICMP
 8  85.17.165.40  6.689 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 125.209.222.141
 1  77.243.183.129  0.294 ms ICMP
 2  213.198.52.61  0.434 ms ICMP
 3  129.250.2.24  0.556 ms ICMP
 4  129.250.6.1  1.038 ms ICMP
 5  129.250.6.54  79.125 ms ICMP
 6  129.250.2.166  97.400 ms ICMP
 7  129.250.2.27  96.813 ms ICMP
 8  *
 9  129.250.3.147  143.635 ms ICMP
10  129.250.5.77  237.886 ms ICMP
11  129.250.5.22  249.986 ms ICMP
12  129.250.3.28  254.502 ms ICMP
13  129.250.5.246  251.651 ms ICMP
14  61.213.169.246  259.336 ms ICMP
15  10.22.69.181  251.935 ms ICMP
16  10.22.67.14  252.149 ms ICMP
17  10.118.2.138  252.092 ms ICMP
18  *
19  125.209.222.141  254.927 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.18.188.55
 1  77.243.183.129  0.303 ms ICMP
 2  37.120.128.249  9.389 ms ICMP
 3  37.120.128.129  9.285 ms ICMP
 4  195.42.144.143  10.301 ms ICMP
 5  104.18.188.55  9.298 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.109.84.214
 1  77.243.183.129  0.377 ms ICMP
 2  37.120.128.253  0.298 ms ICMP
 3  80.81.192.28  1.869 ms ICMP
 4  104.109.84.214  0.805 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 104.18.131.225
 1  77.243.183.129  0.325 ms ICMP
 2  37.120.128.226  9.499 ms ICMP
 3  195.42.144.143  10.380 ms ICMP
 4  104.18.131.225  10.128 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 31.216.147.130
 1  77.243.183.129  16.657 ms ICMP
 2  213.198.52.61  1.463 ms ICMP
 3  *
 4  129.250.3.173  5.995 ms ICMP
 5  81.20.77.6  5.410 ms ICMP
 6  31.216.147.130  4.911 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 8.20.73.150
 1  77.243.183.129  0.380 ms ICMP
 2  *
 3  4.69.153.93  83.490 ms ICMP
 4  4.78.154.26  93.741 ms ICMP
 5  8.20.73.150  96.286 ms [SYN-ACK]
tcp-traceroute from 77.243.183.221 to 45.60.101.212
 1  77.243.183.129  0.306 ms ICMP
 2  *
